Rank,Name,Team,Sort,G,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,ERA,RA9,rRA9,rRA9pf,FIP,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA
217,조이현,24 P,6.46,16,4.28,2.25,1.9,2.03,10.3,5.4,4.9,0.308,68.6,6.3,6.53,6.17,5.93,6.46,3.94,4.81,-0.16,124.83,106.51,130.16,0.314,0.352,0.55,0.902,636,39.8,15.9,3.46
218,김영현,24 P,6.48,8,9.82,8.59,1.14,1.23,20.5,17.9,2.6,0.364,68.8,4.91,7.36,7.79,7.47,6.48,4.96,5.09,-1.57,97.27,134.26,130.41,0.29,0.436,0.452,0.888,140,17.5,19.1,3.59
219,장재혁,24 P,6.52,1,0.0,6.75,0.0,0.0,0.0,14.3,-14.3,0.333,100.0,0.0,0.0,0.0,0.0,6.52,6.62,7.11,-6.52,0.0,0.0,134.48,0.333,0.429,0.333,0.762,27,27.0,20.3,3.86
220,전사민,24 P,6.53,17,6.47,6.47,1.0,1.14,13.3,13.3,0.0,0.414,61.8,9.51,9.51,9.91,10.02,6.53,5.14,5.4,2.98,196.7,187.93,137.33,0.371,0.465,0.533,0.998,479,28.2,20.2,3.74
221,유승철,24 P,6.54,5,7.2,12.6,0.57,0.0,17.4,30.4,-13.0,0.25,70.0,5.4,5.4,3.24,3.54,6.54,6.66,6.97,-1.14,109.52,65.17,134.78,0.188,0.435,0.25,0.685,102,20.4,20.4,4.43
222,박신지,24 P,6.55,6,3.12,8.31,0.38,0.0,7.3,19.5,-12.2,0.286,82.4,2.08,3.12,4.21,4.18,6.55,6.68,6.86,-4.48,43.58,79.44,139.72,0.258,0.425,0.323,0.748,161,26.8,18.6,3.93
223,송재영,24 P,6.59,19,9.72,5.4,1.8,2.16,22.5,12.5,10.0,0.333,41.7,10.8,10.8,11.23,10.38,6.59,3.84,4.2,4.21,208.1,181.43,128.99,0.29,0.395,0.581,0.976,162,8.5,19.4,4.05
224,함덕주,24 P,6.65,15,6.17,5.4,1.14,1.54,14.8,13.0,1.9,0.333,77.8,5.4,5.4,3.82,4.02,6.65,4.73,5.18,-1.25,113.3,76.56,141.8,0.302,0.412,0.488,0.9,205,13.7,17.6,3.8
225,손현기,24 P,6.67,6,5.65,5.02,1.13,1.26,13.0,11.6,1.4,0.319,56.0,7.53,8.79,8.35,8.66,6.67,5.13,5.23,0.87,160.33,167.05,144.21,0.298,0.406,0.491,0.897,269,44.8,18.8,3.9
226,김진수,24 P,6.68,7,4.05,2.7,1.5,2.03,10.3,6.9,3.4,0.311,64.7,6.75,6.75,6.18,6.15,6.68,4.13,4.99,0.07,141.62,117.04,142.47,0.315,0.362,0.519,0.881,220,31.4,16.5,3.79
