Rank,Name,Team,Sort,G,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,ERA,RA9,rRA9,rRA9pf,FIP,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA
1,우규민,24 P,2.51,45,8.1,0.42,19.5,0.21,21.5,1.1,20.4,0.338,74.0,2.49,2.91,3.3,3.15,2.51,2.35,2.95,-0.02,49.38,56.56,50.54,0.272,0.283,0.353,0.636,695,15.4,16.0,3.84
2,브랜든,24 P,2.8,14,9.0,1.32,6.82,0.36,23.8,3.5,20.3,0.33,65.1,3.12,4.08,3.81,3.96,2.8,2.4,2.96,0.32,65.46,75.37,59.6,0.257,0.289,0.339,0.628,1274,91.0,17.0,4.04
3,크로우,24 P,3.05,8,9.6,2.68,3.58,0.45,25.0,7.0,18.0,0.342,68.6,3.57,4.24,4.02,4.21,3.05,2.53,3.24,0.52,72.41,77.48,62.79,0.259,0.314,0.342,0.656,710,88.8,17.6,4.13
4,유영찬,24 P,3.06,62,10.89,4.24,2.57,0.28,26.9,10.5,16.4,0.343,76.9,2.97,3.39,5.02,5.22,3.06,2.78,3.43,-0.09,62.28,99.22,65.22,0.246,0.331,0.331,0.662,1105,17.8,17.4,3.86
5,정동윤,24 P,3.06,3,10.8,5.4,2.0,0.0,28.6,14.3,14.3,0.25,100.0,0.0,0.0,1.89,1.76,3.06,3.1,3.69,-3.06,0.0,31.12,60.63,0.167,0.286,0.167,0.453,32,10.7,19.2,4.57
6,하트,24 P,3.1,26,10.43,2.18,4.79,0.63,28.8,6.0,22.8,0.293,77.2,2.69,2.92,2.92,3.0,3.1,2.35,2.66,-0.41,55.74,56.24,65.23,0.215,0.275,0.303,0.578,2465,94.8,15.7,3.91
7,김택연,24 P,3.19,60,10.8,4.29,2.52,0.28,28.2,11.2,17.0,0.314,83.1,2.08,2.35,2.62,2.67,3.19,2.92,3.36,-1.11,43.58,50.88,67.95,0.216,0.317,0.288,0.605,1238,20.6,19.0,4.47
8,발라조빅,24 P,3.22,12,10.9,4.42,2.46,0.47,27.6,11.2,16.4,0.343,68.8,4.26,4.58,4.42,4.67,3.22,2.89,3.43,1.04,89.44,88.89,68.7,0.248,0.337,0.358,0.695,1067,88.9,18.7,4.27
9,김영규,24 P,3.37,42,9.46,2.76,3.43,0.59,26.2,7.7,18.6,0.322,70.6,3.15,3.74,3.39,3.53,3.37,2.67,3.17,-0.22,65.24,66.3,70.89,0.244,0.304,0.323,0.627,734,17.5,16.1,4.01
10,박성빈,24 P,3.38,3,7.71,0.0,,0.0,22.2,0.0,22.2,0.167,100.0,0.0,0.0,0.0,0.0,3.38,3.53,2.73,-3.38,0.0,0.0,67.08,0.125,0.222,0.125,0.347,28,9.3,12.0,3.11
11,정현수,24 P,3.39,18,9.51,4.56,2.08,0.0,24.0,11.5,12.5,0.328,64.7,4.56,4.56,4.09,3.85,3.39,3.49,3.9,1.17,87.93,67.25,66.42,0.235,0.34,0.318,0.658,425,23.6,18.0,4.09
12,박상원,24 P,3.47,65,8.78,2.97,2.95,0.27,23.4,7.9,15.5,0.304,57.8,4.59,5.13,5.16,5.12,3.47,3.19,3.54,1.12,92.86,93.93,71.28,0.232,0.31,0.329,0.639,1115,17.2,16.7,4.01
13,조병현,24 P,3.53,76,11.84,3.82,3.1,0.99,31.8,10.3,21.5,0.27,68.9,3.58,4.19,4.03,3.8,3.53,2.31,2.82,0.04,69.72,67.19,70.0,0.197,0.283,0.326,0.609,1294,17.0,17.7,4.28
14,앤더슨,24 P,3.55,24,12.29,4.12,2.98,0.86,31.9,10.7,21.2,0.33,72.2,3.89,4.28,4.19,3.93,3.55,2.5,2.86,0.34,75.87,69.52,70.37,0.227,0.322,0.338,0.66,2029,84.5,17.5,4.09
15,권휘,24 P,3.55,8,11.0,7.0,1.57,0.0,22.4,14.3,8.2,0.5,50.0,11.0,11.0,8.8,9.22,3.55,3.67,4.42,7.45,230.79,175.44,75.79,0.366,0.458,0.439,0.897,205,25.6,22.8,4.18
16,김승일,24 P,3.57,3,6.0,0.0,,0.0,15.4,0.0,15.4,0.4,80.0,3.0,3.0,0.9,0.9,3.57,3.76,3.55,-0.57,60.69,16.48,73.31,0.333,0.385,0.417,0.802,54,18.0,18.0,4.15
17,박진형,24 P,3.6,7,5.68,1.42,4.0,0.0,16.7,4.2,12.5,0.353,62.5,4.26,4.26,3.77,3.76,3.6,3.7,3.9,0.66,82.14,65.74,70.48,0.286,0.348,0.333,0.681,95,13.6,15.0,3.96
18,김민,24 P,3.6,71,8.96,3.14,2.85,0.58,22.9,8.0,14.9,0.358,70.8,4.31,4.42,4.24,4.2,3.6,2.89,3.61,0.7,85.32,75.5,72.53,0.277,0.34,0.37,0.71,1205,17.0,15.6,3.59
19,한두솔,24 P,3.61,69,10.32,4.7,2.19,0.46,24.9,11.4,13.6,0.36,60.9,5.01,6.07,5.45,5.24,3.61,3.09,3.77,1.4,97.61,92.73,71.5,0.267,0.357,0.366,0.723,1071,15.5,18.1,3.92
20,윌커슨,24 P,3.62,32,7.64,1.24,6.19,0.82,20.5,3.3,17.2,0.321,69.6,3.84,4.12,4.06,3.91,3.62,2.65,3.34,0.22,74.07,68.26,70.93,0.27,0.294,0.394,0.688,3124,97.6,15.9,3.83
21,김원중,24 P,3.64,56,9.66,4.41,2.19,0.57,24.5,11.2,13.4,0.324,75.3,3.55,3.84,4.05,3.85,3.64,2.97,3.8,-0.08,68.45,67.24,71.22,0.25,0.332,0.335,0.667,1136,20.3,17.9,4.1
22,김진호,24 P,3.64,2,11.57,7.71,1.5,0.0,25.0,16.7,8.3,0.5,60.0,7.71,7.71,7.71,8.07,3.64,3.73,4.4,4.07,159.61,151.32,76.58,0.333,0.455,0.333,0.788,52,26.0,22.3,4.33
23,와이스,24 P,3.65,16,9.62,2.85,3.38,0.79,25.5,7.6,18.0,0.284,67.3,3.73,4.22,4.12,4.06,3.65,2.7,3.24,0.08,75.48,74.5,74.98,0.223,0.286,0.358,0.644,1463,91.4,16.0,3.81
24,알드레드,24 P,3.66,9,10.72,3.5,3.06,0.82,28.3,9.2,19.0,0.318,64.7,4.53,4.95,4.19,4.18,3.66,2.65,3.12,0.87,91.97,76.88,75.46,0.235,0.313,0.333,0.646,748,83.1,17.1,4.07
25,류현진,24 P,3.67,28,7.67,1.88,4.09,0.68,19.9,4.9,15.0,0.346,69.7,3.87,4.43,4.37,4.41,3.67,2.87,3.6,0.19,78.2,80.84,75.54,0.287,0.323,0.381,0.704,2599,92.8,16.4,3.83
