,Rank,Name,Team,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,WAR.1,image_url,team,player_id
267,268,나균안,24 P,-0.64,26,14,12,4,0,0,4,7,0,0,73.0,69,73,73.5,380,114,19,0,15,47,5,0,74,2,0,10,8.51,9.0,9.06,8.73,6.32,2.21,-0.64,https://statiz.sporki.com/data/team/ci/2024/3001.svg,LG Twins,12930
268,269,윤석원,24 P,-0.66,11,1,10,3,0,0,0,1,0,0,17.1,22,24,24.2,88,31,11,0,3,7,2,0,1,2,1,3,11.42,12.46,12.57,12.91,7.72,2.19,-0.66,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes,15071
269,270,최민준,24 P,-0.67,32,0,32,3,0,0,1,0,0,0,39.1,34,36,41.2,202,61,9,1,9,24,3,1,40,2,0,1,7.78,8.24,9.43,9.17,6.43,2.16,-0.67,https://statiz.sporki.com/data/team/ci/2024/9002.svg,SSG Landers,13126
270,271,최이준,24 P,-0.7,23,0,23,11,0,0,3,0,0,0,24.2,20,22,27.85,126,40,6,1,3,16,1,1,17,1,0,1,7.3,8.03,10.16,9.76,6.06,2.27,-0.7,https://statiz.sporki.com/data/team/ci/2024/3001.svg,LG Twins,13169
271,272,김동혁,24 P,-0.72,17,0,17,8,0,0,0,2,0,0,22.1,17,21,23.75,102,27,5,1,7,10,2,0,9,1,0,0,6.85,8.46,9.57,9.86,8.59,1.66,-0.72,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes,14674
272,273,이우찬,24 P,-0.73,42,1,41,3,0,0,3,2,0,6,33.2,33,35,33.15,172,42,6,1,2,30,1,0,31,4,1,6,8.82,9.36,8.86,8.94,5.46,2.14,-0.73,https://statiz.sporki.com/data/team/ci/2024/5002.svg,Lotte Giants,10749
273,274,이재익,24 P,-0.76,9,0,9,1,0,0,1,0,0,0,9.2,19,19,17.75,58,29,3,0,2,4,0,0,6,0,0,0,17.69,17.69,16.53,17.15,6.39,3.41,-0.76,https://statiz.sporki.com/data/team/ci/2024/1001.svg,Hanwha Eagles,13244
274,275,문용익,24 P,-0.79,12,0,12,4,0,0,0,0,0,0,17.0,23,27,28.55,99,23,4,0,2,22,2,0,17,3,0,2,12.18,14.29,15.11,15.15,7.48,2.65,-0.79,https://statiz.sporki.com/data/team/ci/2024/12001.svg,Doosan Bears,12885
275,276,윤중현,24 P,-0.82,11,0,11,4,0,0,0,0,0,0,10.1,16,17,19.25,62,22,2,1,4,9,3,1,4,1,0,0,13.94,14.81,16.77,16.88,11.14,3.0,-0.82,https://statiz.sporki.com/data/team/ci/2024/2002.svg,KIA Tigers,13122
276,277,더거,24 P,-0.84,6,6,0,0,0,0,0,3,0,0,22.2,32,33,33.0,116,37,7,3,2,10,3,0,18,1,0,0,12.71,13.1,13.1,12.8,5.04,2.07,-0.84,https://statiz.sporki.com/data/team/ci/2024/9002.svg,SSG Landers,16141
277,278,한승주,24 P,-0.95,18,0,18,6,0,0,0,2,0,0,22.0,28,31,30.15,120,45,6,1,2,10,3,0,14,2,0,1,11.45,12.68,12.33,12.5,5.52,2.5,-0.95,https://statiz.sporki.com/data/team/ci/2024/7002.svg,Samsung Lions,14621
278,279,이용찬,24 P,-1.14,57,0,57,36,0,0,3,9,16,2,54.1,37,48,46.5,262,82,20,3,6,21,2,1,49,5,0,6,6.13,7.95,7.7,8.0,4.57,1.9,-1.14,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz,10217
279,280,김명신,24 P,-1.42,35,0,35,5,0,0,2,1,0,4,32.2,34,34,38.5,168,63,7,0,8,8,2,0,25,1,0,1,9.37,9.37,10.61,11.17,6.15,2.17,-1.42,https://statiz.sporki.com/data/team/ci/2024/6002.svg,NC Dinos,12847
