,Rank,Name,Team,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,WAR.1,image_url,team,player_id
148,149,김승일,24 P,0.12,3,0,3,1,0,0,0,0,0,0,3.0,1,1,0.3,13,4,1,0,0,0,1,0,2,0,0,1,3.0,3.0,0.9,0.9,3.57,1.33,0.12,https://statiz.sporki.com/data/team/ci/2024/7002.svg,Samsung Lions,14711
149,150,박시후,24 P,0.12,11,0,11,5,0,0,0,0,0,0,14.2,11,11,10.65,70,18,1,0,1,7,2,0,11,1,0,0,6.75,6.75,6.54,6.34,5.04,1.7,0.12,https://statiz.sporki.com/data/team/ci/2024/9002.svg,SSG Landers,14687
150,151,이용준,24 P,0.12,9,9,0,0,0,0,2,3,0,0,33.2,25,28,25.4,157,42,6,2,5,14,1,0,26,3,0,1,6.68,7.49,6.79,7.1,5.42,1.66,0.12,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz,14763
151,152,남지민,24 P,0.12,2,0,2,1,0,0,0,0,0,0,4.0,0,0,1.2,17,2,1,0,0,2,1,0,3,0,0,1,0.0,0.0,2.7,2.7,4.65,1.0,0.12,https://statiz.sporki.com/data/team/ci/2024/7002.svg,Samsung Lions,14619
152,153,김대현,24 P,0.11,37,0,37,8,0,0,2,0,1,1,35.0,21,21,25.0,155,33,6,1,6,18,2,0,30,0,0,5,5.4,5.4,6.43,6.56,5.87,1.46,0.11,https://statiz.sporki.com/data/team/ci/2024/5002.svg,Lotte Giants,12532
153,154,윤호솔,24 P,0.11,7,0,7,2,0,0,0,0,0,0,4.1,2,2,1.65,24,4,0,0,0,8,0,0,5,0,0,0,4.15,4.15,3.43,3.44,7.04,2.77,0.11,https://statiz.sporki.com/data/team/ci/2024/5002.svg,Lotte Giants,11170
154,155,이지강,24 P,0.11,46,2,44,6,0,0,2,3,1,1,53.2,27,35,38.75,250,61,9,0,5,26,2,0,39,5,0,5,4.53,5.87,6.5,6.69,5.11,1.62,0.11,https://statiz.sporki.com/data/team/ci/2024/5002.svg,Lotte Giants,14143
155,156,박승주,24 P,0.1,15,0,15,6,0,0,0,1,0,0,17.1,13,13,11.95,74,16,2,0,2,9,1,0,13,0,0,3,6.75,6.75,6.2,6.56,5.49,1.44,0.1,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes,12989
156,157,박성빈,24 P,0.1,3,0,3,3,0,0,0,0,0,0,2.1,0,0,0.0,9,1,0,0,0,0,1,0,2,0,0,0,0.0,0.0,0.0,0.0,3.38,0.43,0.1,https://statiz.sporki.com/data/team/ci/2024/9002.svg,SSG Landers,16044
157,158,원종현,24 P,0.1,4,0,4,0,0,0,0,0,0,0,3.2,2,2,2.0,18,4,1,0,0,3,0,0,4,0,0,2,4.91,4.91,4.91,4.45,4.01,1.91,0.1,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes,11161
