Rank,Name,Team,Sort,K%,BB%,BB/K,BABIP,IsoP,IsoD,R/ePA,wOBA,wRC,RC27,Own%,wRC+
67,김주원,24 SS,108.4,23.4,10.7,0.46,0.326,0.127,0.119,0.143,0.361,68.0,5.87,22.9,108.4
68,고승민,24 2B,107.9,14.7,7.7,0.53,0.338,0.168,0.05,0.152,0.37,80.8,6.13,24.5,107.9
69,디아즈,24 1B,107.9,21.2,5.1,0.24,0.308,0.236,0.049,0.152,0.37,17.9,5.96,23.5,107.9
69,안치홍,24 DH,107.9,13.1,9.2,0.7,0.327,0.127,0.07,0.146,0.364,78.0,6.05,24.0,107.9
71,이창진,24 LF,107.0,14.6,18.2,1.25,0.31,0.068,0.139,0.144,0.361,35.4,6.02,23.9,107.0
72,김태연,24 RF,106.5,18.9,9.5,0.51,0.342,0.145,0.072,0.145,0.363,68.6,5.9,23.1,106.5
73,노시환,24 3B,106.5,21.5,10.0,0.47,0.316,0.182,0.084,0.145,0.362,87.0,5.92,23.3,106.5
74,이성규,24 RF,106.1,30.7,8.7,0.28,0.293,0.258,0.097,0.149,0.367,52.6,5.84,22.8,106.1
75,송민섭,24 RF,105.2,30.0,15.0,0.5,0.375,0.0,0.207,0.145,0.363,2.9,6.03,24.0,105.2
76,한준수,24 C,105.2,15.2,6.6,0.44,0.34,0.149,0.044,0.141,0.359,44.7,5.69,21.9,105.2
77,이재현,24 SS,104.8,18.1,12.7,0.7,0.295,0.159,0.105,0.146,0.364,66.4,5.97,23.6,104.8
78,김현수,24 LF,104.7,13.0,8.1,0.62,0.326,0.124,0.063,0.136,0.353,78.9,5.52,20.9,104.7
79,양석환,24 1B,104.5,21.6,8.3,0.38,0.259,0.242,0.07,0.136,0.353,80.5,5.13,18.5,104.5
80,오지환,24 SS,104.5,24.8,11.9,0.48,0.329,0.157,0.096,0.136,0.352,57.6,5.34,19.8,104.5
81,강승호,24 2B,104.3,27.9,5.7,0.2,0.367,0.196,0.048,0.136,0.353,77.0,5.27,19.4,104.3
82,장성우,24 C,104.2,17.6,12.3,0.7,0.29,0.182,0.087,0.144,0.361,70.2,5.85,22.8,104.2
