statiz_2024_batting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Name,Team,Sort▼,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR▼,image_url,team
50,김상수,24 SS,1.89,113,1.77,0.13,420,413,369,60,102,18,4,4,140,45,3,2,37,6,0,59,12,7,1,0.276,0.351,0.379,0.73,0.126,91.5,1.89,https://statiz.sporki.com/data/team/ci/2024/12001.svg,Doosan Bears
51,최재훈,24 C,1.82,116,1.69,0.13,348,340,280,34,72,10,0,4,94,37,0,0,33,21,0,58,10,8,6,0.257,0.371,0.336,0.707,0.131,96.6,1.82,https://statiz.sporki.com/data/team/ci/2024/7002.svg,Samsung Lions
52,정준재,24 2B,1.8,88,1.52,0.28,240,237,215,40,66,8,5,1,87,23,16,5,19,3,0,49,3,3,0,0.307,0.371,0.405,0.776,0.143,103.2,1.8,https://statiz.sporki.com/data/team/ci/2024/9002.svg,SSG Landers
53,전준우,24 DH,1.8,109,2.15,-0.36,483,482,423,57,124,26,2,17,205,82,3,1,49,5,0,84,11,1,5,0.293,0.369,0.485,0.854,0.163,115.7,1.8,https://statiz.sporki.com/data/team/ci/2024/3001.svg,LG Twins
54,최지훈,24 CF,1.76,125,2.03,-0.27,543,537,483,89,133,22,7,11,202,49,32,5,50,2,0,71,5,6,2,0.275,0.345,0.418,0.763,0.128,92.2,1.76,https://statiz.sporki.com/data/team/ci/2024/9002.svg,SSG Landers
55,나성범,24 RF,1.73,102,1.89,-0.16,424,422,374,51,109,17,1,21,191,80,0,0,38,4,1,98,8,0,7,0.291,0.357,0.511,0.868,0.16,118.4,1.73,https://statiz.sporki.com/data/team/ci/2024/2002.svg,KIA Tigers
56,라모스,24 RF,1.68,80,1.9,-0.22,348,346,311,43,95,19,3,10,150,48,3,3,27,3,1,60,5,1,6,0.305,0.36,0.482,0.842,0.154,119.6,1.68,https://statiz.sporki.com/data/team/ci/2024/6002.svg,NC Dinos
57,문상철,24 1B,1.64,125,0.96,0.68,403,401,347,50,89,11,0,17,151,58,6,1,45,7,2,86,8,1,3,0.256,0.351,0.435,0.786,0.139,101.7,1.64,https://statiz.sporki.com/data/team/ci/2024/12001.svg,Doosan Bears
58,제러드,24 RF,1.59,38,2.09,-0.5,169,169,144,29,47,16,1,10,95,39,4,0,21,3,0,35,0,0,1,0.326,0.42,0.66,1.08,0.241,183.7,1.59,https://statiz.sporki.com/data/team/ci/2024/6002.svg,NC Dinos
59,최형우,24 DH,1.54,116,1.83,-0.29,487,486,425,67,119,23,2,22,212,109,1,1,52,5,4,86,5,0,5,0.28,0.361,0.499,0.86,0.161,119,1.54,https://statiz.sporki.com/data/team/ci/2024/2002.svg,KIA Tigers
60,한준수,24 C,1.54,115,1.66,-0.12,316,316,287,39,88,22,0,7,131,41,0,0,21,2,1,48,7,0,6,0.307,0.351,0.456,0.807,0.141,105.2,1.54,https://statiz.sporki.com/data/team/ci/2024/2002.svg,KIA Tigers
61,이지영,24 C,1.53,123,0.96,0.57,432,425,398,45,111,11,1,5,139,50,8,1,18,7,0,35,10,7,2,0.279,0.32,0.349,0.669,0.097,70.1,1.53,https://statiz.sporki.com/data/team/ci/2024/9002.svg,SSG Landers
62,오윤석,24 2B,1.52,73,1.36,0.16,201,198,174,33,51,12,2,6,85,27,0,1,18,4,0,41,7,3,2,0.293,0.369,0.489,0.858,0.166,120.7,1.52,https://statiz.sporki.com/data/team/ci/2024/12001.svg,Doosan Bears
63,서건창,24 1B,1.51,94,1.54,-0.02,248,245,203,40,63,14,1,1,82,26,3,1,36,3,0,31,2,3,3,0.31,0.416,0.404,0.82,0.169,124.5,1.51,https://statiz.sporki.com/data/team/ci/2024/2002.svg,KIA Tigers
64,박준영,24 SS,1.47,65,0.91,0.56,212,211,186,25,42,9,2,7,76,28,2,0,21,3,0,58,3,1,1,0.226,0.313,0.409,0.722,0.114,86.6,1.47,https://statiz.sporki.com/data/team/ci/2024/6002.svg,NC Dinos
65,이용규,24 CF,1.42,60,1.43,-0.01,227,224,183,27,56,5,2,1,68,12,2,2,31,9,0,33,4,3,1,0.306,0.429,0.372,0.801,0.172,136.7,1.42,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes
66,서호철,24 3B,1.39,141,1.28,0.11,567,561,512,68,146,19,3,10,201,61,1,3,30,16,0,101,15,6,3,0.285,0.342,0.393,0.735,0.123,93.3,1.39,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz
67,황영묵,24 2B,1.39,123,1.38,0.01,389,386,349,52,105,8,4,3,130,35,4,7,31,5,0,56,6,3,1,0.301,0.365,0.372,0.737,0.129,95.1,1.39,https://statiz.sporki.com/data/team/ci/2024/7002.svg,Samsung Lions
68,안치홍,24 DH,1.33,128,1.65,-0.31,533,531,473,64,142,21,0,13,202,66,3,2,49,6,1,70,10,1,4,0.3,0.37,0.427,0.797,0.146,107.9,1.33,https://statiz.sporki.com/data/team/ci/2024/7002.svg,Samsung Lions
69,구본혁,24 SS,1.29,133,0.73,0.56,389,385,339,48,87,14,2,2,111,43,8,4,38,4,0,51,7,4,4,0.257,0.335,0.327,0.662,0.101,77.6,1.29,https://statiz.sporki.com/data/team/ci/2024/5002.svg,Lotte Giants
70,오태곤,24 1B,1.29,117,1.19,0.09,288,281,247,43,68,16,0,9,111,36,27,4,31,1,2,73,4,6,3,0.275,0.355,0.449,0.804,0.143,102.4,1.29,https://statiz.sporki.com/data/team/ci/2024/9002.svg,SSG Landers
71,최인호,24 LF,1.18,82,0.86,0.32,244,240,210,37,60,13,2,2,83,22,3,0,25,3,0,31,3,4,2,0.286,0.367,0.395,0.762,0.139,102.2,1.18,https://statiz.sporki.com/data/team/ci/2024/7002.svg,Samsung Lions
72,김기연,24 C,1.16,95,0.85,0.31,283,279,252,31,70,10,0,5,95,31,0,2,22,2,0,47,5,4,3,0.278,0.337,0.377,0.714,0.113,86.7,1.16,https://statiz.sporki.com/data/team/ci/2024/6002.svg,NC Dinos
73,채은성,24 1B,1.14,124,1.32,-0.18,498,498,436,61,118,24,0,20,202,83,1,1,49,8,1,83,12,0,5,0.271,0.351,0.463,0.814,0.147,108.9,1.14,https://statiz.sporki.com/data/team/ci/2024/7002.svg,Samsung Lions
74,김태군,24 C,1.13,105,0.81,0.32,270,259,235,24,62,7,0,7,90,34,0,0,12,11,0,24,14,11,1,0.264,0.328,0.383,0.711,0.115,85.3,1.13,https://statiz.sporki.com/data/team/ci/2024/2002.svg,KIA Tigers
75,이성규,24 RF,1.11,122,1.02,0.08,355,351,302,56,73,10,1,22,151,57,9,2,31,15,0,109,5,4,3,0.242,0.339,0.5,0.839,0.149,106.1,1.11,https://statiz.sporki.com/data/team/ci/2024/1001.svg,Hanwha Eagles
76,김현수,24 LF,1.06,137,1.49,-0.43,583,582,517,61,152,36,2,8,216,69,6,1,47,9,1,76,10,1,9,0.294,0.357,0.418,0.775,0.136,104.7,1.06,https://statiz.sporki.com/data/team/ci/2024/5002.svg,Lotte Giants
77,김헌곤,24 LF,1.05,117,0.87,0.18,311,307,281,43,85,8,1,9,122,34,4,2,22,3,0,50,5,4,1,0.302,0.358,0.434,0.792,0.142,101,1.05,https://statiz.sporki.com/data/team/ci/2024/1001.svg,Hanwha Eagles
78,윤정빈,24 RF,1.05,69,0.67,0.38,188,188,161,26,46,4,1,7,73,20,1,3,22,3,0,47,1,0,2,0.286,0.378,0.453,0.831,0.159,113.7,1.05,https://statiz.sporki.com/data/team/ci/2024/1001.svg,Hanwha Eagles
79,박승욱,24 SS,1.01,139,1.65,-0.64,468,463,405,57,106,19,1,7,148,53,4,5,47,10,3,120,7,3,3,0.262,0.351,0.365,0.716,0.121,86.4,1.01,https://statiz.sporki.com/data/team/ci/2024/3001.svg,LG Twins
80,이유찬,24 3B,1.01,103,0.67,0.33,262,255,231,39,64,11,0,3,84,23,16,6,22,1,0,51,9,7,1,0.277,0.341,0.364,0.705,0.115,87.9,1.01,https://statiz.sporki.com/data/team/ci/2024/6002.svg,NC Dinos
81,조수행,24 LF,0.97,130,0.4,0.57,382,368,328,60,87,5,2,0,96,30,64,8,33,3,1,53,2,14,4,0.265,0.334,0.293,0.627,0.085,65.5,0.97,https://statiz.sporki.com/data/team/ci/2024/6002.svg,NC Dinos
82,배정대,24 CF,0.88,113,1.41,-0.52,473,464,404,49,111,25,1,7,159,59,9,7,50,4,1,114,5,8,7,0.275,0.355,0.394,0.749,0.129,94.1,0.88,https://statiz.sporki.com/data/team/ci/2024/12001.svg,Doosan Bears
83,신본기,24 SS,0.82,84,0.84,-0.02,152,143,122,18,34,3,0,3,46,19,2,0,16,3,0,28,3,9,2,0.279,0.371,0.377,0.748,0.135,97.6,0.82,https://statiz.sporki.com/data/team/ci/2024/12001.svg,Doosan Bears
84,정훈,24 1B,0.76,109,0.76,0,325,324,285,31,76,20,0,9,123,47,1,1,35,0,0,63,3,1,4,0.267,0.343,0.432,0.775,0.133,94.9,0.76,https://statiz.sporki.com/data/team/ci/2024/3001.svg,LG Twins
85,변우혁,24 1B,0.72,69,0.77,-0.04,187,187,168,22,51,9,2,5,79,21,1,0,16,2,0,48,8,0,1,0.304,0.369,0.47,0.839,0.159,119,0.72,https://statiz.sporki.com/data/team/ci/2024/2002.svg,KIA Tigers
86,김재호,24 SS,0.68,57,0.99,-0.31,154,147,126,20,38,5,0,1,46,11,0,0,19,1,0,23,4,7,1,0.302,0.395,0.365,0.76,0.144,112.2,0.68,https://statiz.sporki.com/data/team/ci/2024/6002.svg,NC Dinos
87,추신수,24 DH,0.67,78,0.64,0.02,302,300,253,40,71,14,1,5,102,37,5,1,37,4,0,68,2,2,6,0.281,0.373,0.403,0.776,0.143,102,0.67,https://statiz.sporki.com/data/team/ci/2024/9002.svg,SSG Landers
88,심우준,24 SS,0.64,53,0.65,-0.01,192,187,169,22,45,4,0,3,58,28,7,1,17,1,0,29,3,5,0,0.266,0.337,0.343,0.68,0.105,75.5,0.64,https://statiz.sporki.com/data/team/ci/2024/12001.svg,Doosan Bears
89,최정원,24 CF,0.62,65,0.55,0.06,155,154,131,33,37,5,0,1,45,14,7,3,17,4,0,34,1,1,2,0.282,0.377,0.344,0.721,0.131,99,0.62,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz
90,김태연,24 RF,0.61,126,1.43,-0.82,472,466,413,59,120,24,0,12,180,61,5,2,45,4,0,89,9,6,4,0.291,0.363,0.436,0.799,0.145,106.5,0.61,https://statiz.sporki.com/data/team/ci/2024/7002.svg,Samsung Lions
91,이도윤,24 SS,0.59,134,0.74,-0.14,374,368,336,49,93,10,3,1,112,46,6,4,26,3,0,56,5,6,3,0.277,0.332,0.333,0.665,0.098,72.4,0.59,https://statiz.sporki.com/data/team/ci/2024/7002.svg,Samsung Lions
92,장진혁,24 CF,0.58,99,0.57,0,327,322,289,56,76,16,0,9,119,44,14,6,29,3,0,72,6,5,1,0.263,0.335,0.412,0.747,0.125,91.6,0.58,https://statiz.sporki.com/data/team/ci/2024/7002.svg,Samsung Lions
93,이창진,24 LF,0.54,103,0.8,-0.26,247,242,191,36,50,10,0,1,63,18,4,3,45,2,0,36,6,5,4,0.262,0.401,0.33,0.731,0.144,107,0.54,https://statiz.sporki.com/data/team/ci/2024/2002.svg,KIA Tigers
94,디아즈,24 1B,0.53,29,0.21,0.32,118,118,110,14,31,5,0,7,57,19,0,0,6,2,0,25,2,0,0,0.282,0.331,0.518,0.849,0.152,107.9,0.53,https://statiz.sporki.com/data/team/ci/2024/1001.svg,Hanwha Eagles
95,맥키넌,24 1B,0.51,72,0.35,0.17,315,313,272,28,80,13,0,4,105,36,1,0,39,1,3,33,6,0,3,0.294,0.381,0.386,0.767,0.135,96.5,0.51,https://statiz.sporki.com/data/team/ci/2024/1001.svg,Hanwha Eagles
96,문현빈,24 2B,0.5,103,0.63,-0.14,289,287,260,29,72,16,2,5,107,47,3,5,24,2,1,53,9,1,2,0.277,0.34,0.412,0.752,0.126,93.2,0.5,https://statiz.sporki.com/data/team/ci/2024/7002.svg,Samsung Lions
97,윤도현,24 2B,0.5,6,0.33,0.16,27,27,27,5,11,2,0,1,16,8,1,0,0,0,0,9,0,0,0,0.407,0.407,0.593,1,0.212,154.7,0.5,https://statiz.sporki.com/data/team/ci/2024/2002.svg,KIA Tigers
98,박세혁,24 C,0.48,82,0.69,-0.21,171,166,148,21,39,9,0,1,51,10,4,0,14,3,0,43,3,5,1,0.264,0.337,0.345,0.682,0.108,82.4,0.48,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz
99,박상언,24 C,0.47,27,0.48,-0.02,52,52,42,4,12,3,0,0,15,4,1,0,9,1,0,12,0,0,0,0.286,0.423,0.357,0.78,0.166,119.8,0.47,https://statiz.sporki.com/data/team/ci/2024/7002.svg,Samsung Lions
100,조대현,24 C,0.46,26,0.17,0.29,45,40,36,2,11,2,0,0,13,3,0,0,3,0,0,12,1,5,1,0.306,0.35,0.361,0.711,0.113,81.4,0.46,https://statiz.sporki.com/data/team/ci/2024/12001.svg,Doosan Bears
101,박정우,24 CF,0.42,66,0.05,0.37,69,69,65,17,20,3,1,0,25,11,0,1,4,0,0,14,3,0,0,0.308,0.348,0.385,0.733,0.121,89.2,0.42,https://statiz.sporki.com/data/team/ci/2024/2002.svg,KIA Tigers
102,김형준,24 C,0.42,119,0.31,0.11,414,407,354,39,69,12,0,17,132,50,0,0,45,2,0,144,6,7,6,0.195,0.285,0.373,0.658,0.086,64.9,0.42,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz
103,권광민,24 LF,0.4,19,0.31,0.09,51,51,48,10,13,3,0,4,28,9,0,0,3,0,0,17,0,0,0,0.271,0.314,0.583,0.897,0.16,119.1,0.4,https://statiz.sporki.com/data/team/ci/2024/7002.svg,Samsung Lions
104,천재환,24 RF,0.37,89,0.56,-0.2,236,233,215,31,61,9,1,5,87,33,8,2,13,4,0,52,7,3,1,0.284,0.335,0.405,0.74,0.121,91.5,0.37,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz
105,박병호,24 1B,0.36,120,0.06,0.31,406,406,350,52,81,7,0,23,157,70,4,0,47,7,0,121,13,0,2,0.231,0.333,0.449,0.782,0.135,96.6,0.36,https://statiz.sporki.com/data/team/ci/2024/1001.svg,Hanwha Eagles
106,이형종,24 RF,0.36,35,0.28,0.08,126,125,102,19,22,3,0,4,37,19,1,0,22,1,1,27,1,1,0,0.216,0.36,0.363,0.723,0.128,100.7,0.36,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes
