statiz_2024_batting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Name,Team,Sort▼,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR▼,image_url,team
214,김민식,24 C,-0.26,45,-0.05,-0.21,126,122,106,10,22,5,0,1,30,10,0,0,16,0,0,33,2,4,0,0.208,0.311,0.283,0.594,0.079,56.5,-0.26,https://statiz.sporki.com/data/team/ci/2024/9002.svg,SSG Landers
215,노진혁,24 SS,-0.26,73,-0.18,-0.08,157,154,137,13,30,6,0,2,42,13,0,0,15,1,1,39,1,2,2,0.219,0.297,0.307,0.604,0.072,51,-0.26,https://statiz.sporki.com/data/team/ci/2024/3001.svg,LG Twins
216,박주홍,24 LF,-0.27,25,-0.44,0.17,59,59,49,5,5,2,0,0,7,1,2,0,10,0,0,17,1,0,0,0.102,0.254,0.143,0.397,0.016,12.6,-0.27,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes
217,박한결,24 LF,-0.28,28,-0.07,-0.21,71,71,65,8,12,1,0,7,34,14,0,0,6,0,0,29,1,0,0,0.185,0.254,0.523,0.777,0.11,84.6,-0.28,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz
218,김동엽,24 DH,-0.29,8,-0.29,0,21,20,18,1,2,1,0,0,3,2,0,0,1,1,1,5,0,0,1,0.111,0.19,0.167,0.357,-0.031,-21.5,-0.29,https://statiz.sporki.com/data/team/ci/2024/1001.svg,Hanwha Eagles
219,이재원,24 C,-0.29,72,-0.24,-0.05,152,150,134,10,32,4,0,1,39,16,0,0,7,4,1,21,4,2,5,0.239,0.287,0.291,0.578,0.059,44,-0.29,https://statiz.sporki.com/data/team/ci/2024/7002.svg,Samsung Lions
220,황재균,24 3B,-0.3,137,0.02,-0.32,536,531,493,60,128,22,0,13,189,58,4,6,34,2,0,95,16,5,2,0.26,0.309,0.383,0.692,0.099,72.2,-0.3,https://statiz.sporki.com/data/team/ci/2024/12001.svg,Doosan Bears
221,김동진,24 2B,-0.31,30,-0.47,0.17,42,40,37,5,4,0,0,1,7,2,0,0,3,0,0,10,1,2,0,0.108,0.175,0.189,0.364,-0.028,-20.5,-0.31,https://statiz.sporki.com/data/team/ci/2024/1001.svg,Hanwha Eagles
222,최항,24 2B,-0.31,72,-0.41,0.1,143,143,132,17,33,3,1,0,38,12,0,1,10,1,0,32,3,0,0,0.25,0.308,0.288,0.596,0.073,51.3,-0.31,https://statiz.sporki.com/data/team/ci/2024/3001.svg,LG Twins
223,박민석,24 2B,-0.31,20,-0.14,-0.18,14,14,14,6,3,0,0,0,3,0,0,1,0,0,0,7,0,0,0,0.214,0.214,0.214,0.428,-0.01,-7.4,-0.31,https://statiz.sporki.com/data/team/ci/2024/12001.svg,Doosan Bears
224,전민재,24 SS,-0.32,100,-0.39,0.07,276,272,248,34,61,5,1,2,74,32,7,3,17,4,1,53,8,4,3,0.246,0.301,0.298,0.599,0.071,54.5,-0.32,https://statiz.sporki.com/data/team/ci/2024/6002.svg,NC Dinos
225,장재영,24 RF,-0.33,38,-0.25,-0.07,139,139,119,14,20,3,0,4,35,13,0,0,17,3,0,64,2,0,0,0.168,0.288,0.294,0.582,0.072,55.7,-0.33,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes
226,김민수,24 3B,-0.33,19,-0.22,-0.11,22,22,20,1,3,0,0,0,3,0,0,0,1,1,0,4,1,0,0,0.15,0.227,0.15,0.377,-0.004,-3.4,-0.33,https://statiz.sporki.com/data/team/ci/2024/5002.svg,Lotte Giants
227,김범석,24 DH,-0.33,70,-0.25,-0.08,180,179,162,14,39,4,0,6,61,24,0,0,14,2,2,49,4,0,2,0.241,0.306,0.377,0.683,0.095,71.7,-0.33,https://statiz.sporki.com/data/team/ci/2024/5002.svg,Lotte Giants
228,박계범,24 2B,-0.33,24,0.11,-0.44,20,20,15,5,3,1,0,0,4,0,1,0,5,0,0,7,2,0,0,0.2,0.4,0.267,0.667,0.135,102.1,-0.33,https://statiz.sporki.com/data/team/ci/2024/6002.svg,NC Dinos
229,김건형,24 RF,-0.38,13,-0.35,-0.03,25,25,24,2,3,1,0,0,4,1,0,0,1,0,0,8,0,0,0,0.125,0.16,0.167,0.327,-0.046,-34.1,-0.38,https://statiz.sporki.com/data/team/ci/2024/12001.svg,Doosan Bears
230,김인태,24 LF,-0.39,10,-0.24,-0.15,26,26,23,3,4,0,0,1,7,2,0,0,2,0,0,7,1,0,1,0.174,0.231,0.304,0.535,0.031,22,-0.39,https://statiz.sporki.com/data/team/ci/2024/6002.svg,NC Dinos
231,김호진,24 3B,-0.4,26,-0.47,0.07,32,32,29,4,2,0,0,0,2,3,0,0,1,1,0,11,1,0,1,0.069,0.125,0.069,0.194,-0.088,-60.7,-0.4,https://statiz.sporki.com/data/team/ci/2024/1001.svg,Hanwha Eagles
232,김웅빈,24 DH,-0.4,12,-0.4,0,38,37,32,2,4,0,0,0,4,2,0,0,4,1,0,15,1,1,0,0.125,0.243,0.125,0.368,0.002,1.5,-0.4,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes
233,김민석,24 LF,-0.41,41,-0.42,0.01,83,82,76,14,16,3,1,0,21,6,3,1,2,4,0,20,4,1,0,0.211,0.268,0.276,0.544,0.054,38.9,-0.41,https://statiz.sporki.com/data/team/ci/2024/3001.svg,LG Twins
234,고영우,24 3B,-0.42,94,0.01,-0.43,290,286,254,21,65,12,2,0,81,35,0,0,28,1,0,71,5,4,3,0.256,0.329,0.319,0.648,0.094,73.5,-0.42,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes
235,이주찬,24 3B,-0.43,17,-0.11,-0.32,25,25,24,7,4,1,0,1,8,2,0,0,1,0,0,9,1,0,0,0.167,0.2,0.333,0.533,0.025,17,-0.43,https://statiz.sporki.com/data/team/ci/2024/3001.svg,LG Twins
236,서동욱,24 C,-0.45,33,-0.35,-0.1,27,27,26,2,3,1,0,0,4,0,0,0,0,1,0,8,1,0,0,0.115,0.148,0.154,0.302,-0.052,-37.8,-0.45,https://statiz.sporki.com/data/team/ci/2024/3001.svg,LG Twins
237,박시원,24 CF,-0.46,55,-0.26,-0.2,158,156,141,17,33,5,1,2,46,17,3,0,14,0,0,46,2,2,1,0.234,0.301,0.326,0.627,0.08,60.9,-0.46,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz
238,강한울,24 3B,-0.47,18,-0.47,0.01,25,22,21,1,2,0,0,0,2,1,0,0,0,0,0,6,1,3,1,0.095,0.091,0.095,0.186,-0.114,-81.5,-0.47,https://statiz.sporki.com/data/team/ci/2024/1001.svg,Hanwha Eagles
239,김성욱,24 CF,-0.49,129,-0.1,-0.38,412,409,358,55,73,8,2,17,136,60,10,4,31,15,0,79,7,3,5,0.204,0.291,0.38,0.671,0.095,71.4,-0.49,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz
240,김재혁,24 1B,-0.49,35,-0.53,0.04,54,54,49,6,9,2,1,0,13,6,2,2,3,0,0,19,2,0,2,0.184,0.222,0.265,0.487,0.017,11.6,-0.49,https://statiz.sporki.com/data/team/ci/2024/1001.svg,Hanwha Eagles
241,김성현,24 2B,-0.49,71,0.03,-0.53,167,162,141,21,32,3,1,1,40,15,2,0,16,4,0,28,7,5,1,0.227,0.321,0.284,0.605,0.085,60.3,-0.49,https://statiz.sporki.com/data/team/ci/2024/9002.svg,SSG Landers
242,예진원,24 CF,-0.5,22,-0.1,-0.39,21,21,19,2,4,1,0,0,5,0,0,0,2,0,0,8,1,0,0,0.211,0.286,0.263,0.549,0.056,42.8,-0.5,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes
243,한석현,24 RF,-0.52,40,-0.22,-0.3,76,76,73,10,18,4,1,0,24,3,2,1,2,1,0,22,2,0,0,0.247,0.276,0.329,0.605,0.067,50.3,-0.52,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz
244,조용호,24 RF,-0.52,60,-0.53,0.01,165,162,149,17,37,5,0,0,42,13,5,1,13,0,0,25,5,3,0,0.248,0.309,0.282,0.591,0.071,51.9,-0.52,https://statiz.sporki.com/data/team/ci/2024/12001.svg,Doosan Bears
245,이원석,24 DH,-0.53,39,-0.33,-0.2,109,109,91,5,20,4,0,0,24,8,0,0,14,2,0,18,2,0,2,0.22,0.33,0.264,0.594,0.085,66.4,-0.53,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes
246,한동희,24 DH,-0.55,14,-0.31,-0.25,36,36,35,1,9,2,0,0,11,3,0,0,1,0,1,9,1,0,0,0.257,0.278,0.314,0.592,0.052,37.4,-0.55,https://statiz.sporki.com/data/team/ci/2024/3001.svg,LG Twins
247,김현준,24 RF,-0.58,79,-0.83,0.25,205,201,183,23,41,10,1,0,53,11,2,0,11,4,0,49,4,4,3,0.224,0.279,0.29,0.569,0.059,41.4,-0.58,https://statiz.sporki.com/data/team/ci/2024/1001.svg,Hanwha Eagles
248,이호연,24 3B,-0.61,27,-0.55,-0.06,43,42,41,3,6,1,0,0,7,0,0,0,1,0,0,12,2,1,0,0.146,0.167,0.171,0.338,-0.044,-32.6,-0.61,https://statiz.sporki.com/data/team/ci/2024/12001.svg,Doosan Bears
249,정보근,24 C,-0.63,89,-0.61,-0.02,140,136,133,9,30,0,1,2,38,7,0,0,3,0,0,31,5,4,0,0.226,0.243,0.286,0.529,0.03,21.4,-0.63,https://statiz.sporki.com/data/team/ci/2024/3001.svg,LG Twins
250,허도환,24 C,-0.64,59,-0.22,-0.42,105,100,80,10,11,2,0,0,13,11,0,1,9,10,0,26,4,5,1,0.138,0.3,0.163,0.463,0.059,44.6,-0.64,https://statiz.sporki.com/data/team/ci/2024/5002.svg,Lotte Giants
251,오재일,24 1B,-0.68,105,-0.2,-0.48,343,343,296,33,72,18,1,11,125,45,0,0,36,2,0,88,7,0,9,0.243,0.321,0.422,0.743,0.118,84.9,-0.68,https://statiz.sporki.com/data/team/ci/2024/12001.svg,Doosan Bears
252,김대한,24 RF,-0.69,61,-0.7,0.01,89,87,75,10,10,1,0,1,14,7,1,1,8,2,0,26,1,2,2,0.133,0.23,0.187,0.417,0.007,5.6,-0.69,https://statiz.sporki.com/data/team/ci/2024/6002.svg,NC Dinos
253,김태근,24 LF,-0.7,43,-0.5,-0.2,27,26,23,7,2,0,0,0,2,1,0,1,0,3,0,10,0,1,0,0.087,0.192,0.087,0.279,-0.028,-21.7,-0.7,https://statiz.sporki.com/data/team/ci/2024/6002.svg,NC Dinos
254,이승원,24 SS,-0.74,20,-0.53,-0.2,41,39,37,3,4,1,0,0,5,1,0,0,2,0,0,13,2,2,0,0.108,0.154,0.135,0.289,-0.058,-43.9,-0.74,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes
255,하재훈,24 RF,-0.74,107,0.11,-0.85,317,315,290,40,72,19,0,10,121,36,15,2,18,2,0,90,5,2,5,0.248,0.292,0.417,0.709,0.102,73.9,-0.74,https://statiz.sporki.com/data/team/ci/2024/9002.svg,SSG Landers
256,고명준,24 1B,-0.76,106,-0.97,0.21,366,366,340,33,85,13,0,11,131,45,3,4,25,1,0,90,4,0,0,0.25,0.303,0.385,0.688,0.095,68.1,-0.76,https://statiz.sporki.com/data/team/ci/2024/9002.svg,SSG Landers
257,안상현,24 2B,-0.8,37,-0.58,-0.22,75,74,70,3,12,1,0,0,13,2,1,1,4,0,0,14,0,1,0,0.171,0.216,0.186,0.402,-0.01,-7.2,-0.8,https://statiz.sporki.com/data/team/ci/2024/9002.svg,SSG Landers
258,임지열,24 RF,-0.87,22,-0.59,-0.28,57,57,49,4,5,0,0,1,8,5,0,0,7,0,0,16,2,0,1,0.102,0.211,0.163,0.374,-0.011,-8.3,-0.87,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes
259,안주형,24 2B,-0.92,82,-0.57,-0.35,166,154,142,24,31,2,0,0,33,8,4,2,11,1,0,39,3,12,0,0.218,0.279,0.232,0.511,0.041,29.2,-0.92,https://statiz.sporki.com/data/team/ci/2024/1001.svg,Hanwha Eagles
260,김인환,24 LF,-0.99,51,-0.58,-0.41,143,143,131,11,31,2,0,1,36,7,0,0,10,2,0,32,5,0,0,0.237,0.301,0.275,0.576,0.066,48.1,-0.99,https://statiz.sporki.com/data/team/ci/2024/7002.svg,Samsung Lions
261,이재상,24 SS,-1.04,36,-0.55,-0.49,89,88,84,7,16,1,0,1,20,5,0,0,2,2,0,33,0,1,0,0.19,0.227,0.238,0.465,0.013,9.9,-1.04,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes
262,전의산,24 1B,-1.35,34,-1.09,-0.26,63,63,57,3,5,0,0,1,8,3,0,1,5,0,0,15,3,0,1,0.088,0.159,0.14,0.299,-0.051,-37.6,-1.35,https://statiz.sporki.com/data/team/ci/2024/9002.svg,SSG Landers
