,ID,Name,Team,TBF,AVG,OBP,SLG,K%,BB%,Pit_side
166,15045,이민석,LG Twins,153,0.302,0.425,0.46,13.1,16.3,Right
167,14788,이의리,KIA Tigers,69,0.309,0.449,0.527,20.3,20.3,Left
168,14176,김기훈,KIA Tigers,95,0.208,0.358,0.325,17.9,15.8,Left
169,10795,임준섭,LG Twins,56,0.286,0.464,0.381,5.4,19.6,Left
170,14657,장재혁,KIA Tigers,7,0.333,0.429,0.333,0.0,14.3,Right
171,12571,정동윤,SSG Landers,7,0.167,0.286,0.167,28.6,14.3,Right
172,14155,송명기,KT Wiz,173,0.268,0.349,0.409,17.9,9.8,Right
173,13175,박주현,KT Wiz,13,0.25,0.308,0.5,30.8,7.7,Left
174,16027,원상현,Doosan Bears,324,0.37,0.427,0.511,18.2,9.6,Right
175,15047,진승현,LG Twins,32,0.259,0.375,0.37,15.6,15.6,Right
176,12850,박치국,NC Dinos,222,0.316,0.397,0.476,15.8,8.1,Right
177,10533,정찬헌,Kiwoom Heroes,74,0.371,0.405,0.571,6.8,4.1,Right
178,14795,정우준,LG Twins,40,0.303,0.425,0.545,12.5,17.5,Right
179,10730,양현,Hanwha Eagles,64,0.375,0.429,0.625,15.6,7.8,Right
180,14869,김영현,Doosan Bears,39,0.29,0.436,0.452,20.5,17.9,Right
181,14871,김규연,Samsung Lions,270,0.287,0.37,0.417,14.8,10.4,Right
182,14109,이상동,Doosan Bears,152,0.328,0.391,0.469,19.7,9.2,Right
183,16108,조동욱,Samsung Lions,198,0.331,0.393,0.477,16.2,7.1,Left
184,12897,김진호,KT Wiz,12,0.333,0.455,0.333,25.0,16.7,Right
185,10304,하준호,Doosan Bears,11,0.5,0.545,0.5,0.0,9.1,Left
186,14768,김도윤,NC Dinos,12,0.222,0.417,0.333,8.3,16.7,Right
187,11364,김사윤,KIA Tigers,173,0.288,0.407,0.403,20.8,14.5,Left
188,16092,박준우,LG Twins,10,0.333,0.4,0.444,10.0,10.0,Right
189,14131,윤정현,Kiwoom Heroes,15,0.308,0.4,0.308,6.7,13.3,Left
190,11355,류진욱,KT Wiz,194,0.308,0.38,0.426,19.1,9.8,Right
191,13148,김도규,LG Twins,25,0.333,0.52,0.4,20.0,24.0,Right
192,11070,박준표,KIA Tigers,29,0.4,0.483,0.48,13.8,10.3,Right
193,16057,손주환,KT Wiz,16,0.154,0.313,0.154,25.0,12.5,Right
194,16053,임상현,KT Wiz,181,0.303,0.392,0.487,11.6,12.7,Right
195,14607,유지성,KIA Tigers,14,0.385,0.429,0.615,21.4,0.0,Left
196,15496,이호성,Hanwha Eagles,224,0.351,0.425,0.574,12.5,11.6,Right
197,13156,최채흥,Hanwha Eagles,96,0.3,0.383,0.538,14.6,12.5,Left
198,12565,최성영,KT Wiz,218,0.33,0.376,0.487,13.3,7.8,Left
199,11373,김택형,SSG Landers,37,0.333,0.459,0.467,2.7,16.2,Left
200,11387,채원후,KT Wiz,18,0.4,0.5,0.533,11.1,16.7,Right
201,14625,홍민기,LG Twins,24,0.381,0.458,0.524,8.3,4.2,Left
202,11248,배재환,KT Wiz,91,0.274,0.393,0.507,14.3,16.5,Right
203,11491,박소준,NC Dinos,20,0.333,0.4,0.667,10.0,10.0,Right
204,16049,김민규,KT Wiz,30,0.32,0.379,0.36,6.7,10.0,Right
205,14158,배민서,Samsung Lions,11,0.5,0.636,0.625,9.1,27.3,Right
206,12574,서의태,KT Wiz,34,0.192,0.382,0.346,20.6,23.5,Left
207,10437,문성현,Kiwoom Heroes,189,0.342,0.431,0.462,16.4,13.2,Right
208,14804,장지훈,SSG Landers,101,0.33,0.4,0.5,9.9,9.9,Right
209,12572,박세진,Doosan Bears,25,0.333,0.44,0.381,8.0,16.0,Left
210,14667,성재헌,Doosan Bears,159,0.351,0.429,0.504,12.6,10.1,Left
211,13665,권휘,NC Dinos,49,0.366,0.458,0.439,22.4,14.3,Right
212,14780,강효종,Lotte Giants,9,0.333,0.556,0.833,22.2,33.3,Right
213,16127,김연주,Kiwoom Heroes,148,0.272,0.378,0.472,12.2,11.5,Right
214,16125,손현기,Kiwoom Heroes,69,0.298,0.406,0.491,13.0,11.6,Left
215,13071,정철원,NC Dinos,165,0.295,0.427,0.492,23.6,15.8,Right
216,14588,김윤식,Lotte Giants,17,0.438,0.471,0.563,5.9,5.9,Left
217,11116,이충호,Samsung Lions,13,0.4,0.538,0.5,23.1,23.1,Left
218,14576,이종민,Kiwoom Heroes,212,0.313,0.393,0.542,9.9,10.4,Left
219,14145,백승건,SSG Landers,51,0.317,0.431,0.512,9.8,17.6,Left
220,15450,신영우,KT Wiz,52,0.29,0.52,0.387,11.5,28.8,Right
221,13130,이채호,Doosan Bears,37,0.406,0.459,0.656,13.5,8.1,Right
222,14178,장지수,Samsung Lions,75,0.365,0.467,0.508,14.7,13.3,Right
223,12900,소이현,KT Wiz,19,0.353,0.421,0.529,5.3,5.3,Right
224,16083,김민재,KIA Tigers,22,0.45,0.5,0.9,13.6,4.5,Right
225,10124,고효준,SSG Landers,109,0.271,0.407,0.459,24.8,18.3,Left
226,10909,임기영,KIA Tigers,218,0.313,0.366,0.497,16.5,7.8,Right
227,15882,김대호,Hanwha Eagles,22,0.35,0.409,0.6,4.5,9.1,Right
228,10075,진해수,LG Twins,128,0.316,0.383,0.474,17.2,7.8,Left
229,11323,주권,Doosan Bears,254,0.342,0.371,0.513,12.2,4.3,Right
230,15527,강건,Doosan Bears,24,0.421,0.542,0.684,12.5,16.7,Right
231,16133,박범준,Kiwoom Heroes,28,0.333,0.429,0.571,28.6,14.3,Right
232,12898,김태현,KT Wiz,50,0.35,0.438,0.675,6.0,14.0,Left
233,15024,신헌민,SSG Landers,18,0.538,0.611,1.154,0.0,16.7,Right
234,14106,전용주,Doosan Bears,11,0.286,0.545,0.286,36.4,27.3,Left
235,10535,최동환,Lotte Giants,105,0.372,0.419,0.564,13.3,8.6,Right
236,12944,김건국,KIA Tigers,165,0.327,0.388,0.483,12.1,8.5,Right
237,13162,김윤수,Hanwha Eagles,26,0.375,0.52,0.375,7.7,26.9,Right
238,14776,한차현,Doosan Bears,103,0.345,0.456,0.56,16.5,17.5,Right
239,14769,김동주,NC Dinos,244,0.315,0.379,0.484,14.3,8.6,Right
240,13057,김주온,SSG Landers,25,0.381,0.44,0.714,16.0,12.0,Right
241,11110,윤대경,Samsung Lions,40,0.345,0.425,0.552,17.5,15.0,Right
242,15453,목지훈,KT Wiz,52,0.375,0.519,0.6,5.8,19.2,Right
243,14847,이믿음,Lotte Giants,27,0.478,0.556,0.565,7.4,14.8,Right
244,13271,현도훈,LG Twins,50,0.341,0.42,0.591,16.0,12.0,Right
245,11159,이형범,KIA Tigers,83,0.371,0.458,0.514,10.8,8.4,Right
246,15073,이명종,Kiwoom Heroes,58,0.408,0.439,0.694,6.9,8.6,Right
247,11232,이인복,LG Twins,159,0.358,0.411,0.679,12.6,8.2,Right
248,14162,김현수,KIA Tigers,28,0.333,0.464,0.524,14.3,17.9,Right
249,13268,김호준,NC Dinos,68,0.393,0.477,0.589,8.8,5.9,Left
250,14616,이승민,Hanwha Eagles,237,0.343,0.422,0.594,9.7,11.0,Left
251,13102,김영준,Lotte Giants,76,0.318,0.4,0.455,14.5,11.8,Right
252,15486,박명근,Lotte Giants,120,0.287,0.373,0.505,10.8,10.0,Right
253,10784,서진용,SSG Landers,211,0.291,0.379,0.447,18.0,12.3,Right
254,16122,전준표,Kiwoom Heroes,144,0.294,0.417,0.429,12.5,13.9,Right
255,14794,송재영,LG Twins,40,0.29,0.395,0.581,22.5,12.5,Left
256,16017,정지헌,Lotte Giants,69,0.352,0.478,0.5,15.9,15.9,Right
257,14156,전사민,KT Wiz,128,0.371,0.465,0.533,13.3,13.3,Right
258,14171,전루건,KT Wiz,44,0.556,0.667,0.667,0.0,20.5,Right
259,13009,백승현,Lotte Giants,135,0.314,0.432,0.467,10.4,16.3,Right
260,10609,이태양,Samsung Lions,48,0.37,0.396,0.696,4.2,4.2,Right
261,12860,오석주,Kiwoom Heroes,92,0.368,0.462,0.447,17.4,12.0,Right
262,14132,조영건,Kiwoom Heroes,197,0.304,0.388,0.5,15.7,12.2,Right
263,14173,이교훈,NC Dinos,166,0.297,0.378,0.531,16.3,10.2,Left
264,11242,이건욱,SSG Landers,106,0.386,0.481,0.602,16.0,14.2,Right
265,10706,김대유,KIA Tigers,122,0.34,0.402,0.505,21.3,9.8,Left
266,15455,이준호,KT Wiz,243,0.34,0.415,0.493,17.3,10.7,Right
267,12930,나균안,LG Twins,380,0.353,0.44,0.551,19.5,12.4,Right
268,15071,윤석원,Kiwoom Heroes,88,0.413,0.46,0.68,1.1,8.0,Left
269,13126,최민준,SSG Landers,202,0.353,0.44,0.572,19.8,11.9,Right
