,ID,Name,Team,PA,AVG,OBP,SLG,K%,BB%,Bat_side
50,10170,최재훈,Samsung Lions,348,0.257,0.371,0.336,16.7,9.5,Right
51,16042,정준재,SSG Landers,240,0.307,0.371,0.405,20.4,7.9,Left
52,10266,전준우,LG Twins,483,0.293,0.369,0.485,17.4,10.1,Right
53,14587,최지훈,SSG Landers,543,0.275,0.345,0.418,13.1,9.2,Left
54,11162,나성범,KIA Tigers,424,0.291,0.357,0.511,23.1,9.0,Left
55,15000,라모스,NC Dinos,348,0.305,0.36,0.482,17.2,7.8,Both
56,11333,문상철,Doosan Bears,403,0.256,0.351,0.435,21.3,11.2,Right
57,16158,제러드,NC Dinos,169,0.326,0.42,0.66,20.7,12.4,Left
58,10344,최형우,KIA Tigers,487,0.28,0.361,0.499,17.7,10.7,Left
59,13113,한준수,KIA Tigers,316,0.307,0.351,0.456,15.2,6.6,Left
60,10312,이지영,SSG Landers,432,0.279,0.32,0.349,8.1,4.2,Right
61,11397,오윤석,Doosan Bears,201,0.293,0.369,0.489,20.4,9.0,Right
62,10855,서건창,KIA Tigers,248,0.31,0.416,0.404,12.5,14.5,Left
63,12522,박준영,NC Dinos,212,0.226,0.313,0.409,27.4,9.9,Right
64,10035,이용규,Kiwoom Heroes,227,0.306,0.429,0.372,14.5,13.7,Left
65,14220,서호철,KT Wiz,567,0.285,0.342,0.393,17.8,5.3,Right
66,16110,황영묵,Samsung Lions,389,0.301,0.365,0.372,14.4,8.0,Left
67,10014,안치홍,Samsung Lions,533,0.3,0.37,0.427,13.1,9.2,Right
68,14140,구본혁,Lotte Giants,389,0.257,0.335,0.327,13.1,9.8,Right
69,10249,오태곤,SSG Landers,288,0.275,0.355,0.449,25.3,10.8,Right
70,14707,최인호,Samsung Lions,244,0.286,0.367,0.395,12.7,10.2,Left
71,12549,김기연,NC Dinos,283,0.278,0.337,0.377,16.6,7.8,Right
72,11215,채은성,Samsung Lions,498,0.271,0.351,0.463,16.7,9.8,Right
73,10459,김태군,KIA Tigers,270,0.264,0.328,0.383,8.9,4.4,Right
74,12562,이성규,Hanwha Eagles,355,0.242,0.339,0.5,30.7,8.7,Right
75,10187,김현수,Lotte Giants,583,0.294,0.357,0.418,13.0,8.1,Left
76,10640,김헌곤,Hanwha Eagles,311,0.302,0.358,0.434,16.1,7.1,Right
77,13161,윤정빈,Hanwha Eagles,188,0.286,0.378,0.453,25.0,11.7,Left
78,10804,박승욱,LG Twins,468,0.262,0.351,0.365,25.6,10.0,Left
79,12894,이유찬,NC Dinos,262,0.277,0.341,0.364,19.5,8.4,Right
80,12524,조수행,NC Dinos,382,0.265,0.334,0.293,13.9,8.6,Left
81,11212,배정대,Doosan Bears,473,0.275,0.355,0.394,24.1,10.6,Right
82,10840,신본기,Doosan Bears,152,0.279,0.371,0.377,18.4,10.5,Right
83,10253,정훈,LG Twins,325,0.267,0.343,0.432,19.4,10.8,Right
84,14124,변우혁,KIA Tigers,187,0.304,0.369,0.47,25.7,8.6,Right
85,10174,김재호,NC Dinos,154,0.302,0.395,0.365,14.9,12.3,Right
86,14888,추신수,SSG Landers,302,0.281,0.373,0.403,22.5,12.3,Left
87,11334,심우준,Doosan Bears,192,0.266,0.337,0.343,15.1,8.9,Right
88,14221,최정원,KT Wiz,155,0.282,0.377,0.344,21.9,11.0,Left
89,12585,김태연,Samsung Lions,472,0.291,0.363,0.436,18.9,9.5,Right
90,11414,이도윤,Samsung Lions,374,0.277,0.332,0.333,15.0,7.0,Left
91,12583,장진혁,Samsung Lions,327,0.263,0.335,0.412,22.0,8.9,Left
92,11233,이창진,KIA Tigers,247,0.262,0.401,0.33,14.6,18.2,Right
93,16162,디아즈,Hanwha Eagles,118,0.282,0.331,0.518,21.2,5.1,Left
94,15862,맥키넌,Hanwha Eagles,315,0.294,0.381,0.386,10.5,12.4,Right
95,15422,문현빈,Samsung Lions,289,0.277,0.34,0.412,18.3,8.3,Left
96,15058,윤도현,KIA Tigers,27,0.407,0.407,0.593,33.3,0.0,Right
97,10891,박세혁,KT Wiz,171,0.264,0.337,0.345,25.1,8.2,Left
98,12587,박상언,Samsung Lions,52,0.286,0.423,0.357,23.1,17.3,Right
99,13177,조대현,Doosan Bears,45,0.306,0.35,0.361,26.7,6.7,Right
100,12869,박정우,KIA Tigers,69,0.308,0.348,0.385,20.3,5.8,Left
101,13081,김형준,KT Wiz,414,0.195,0.285,0.373,34.8,10.9,Right
