,Unnamed: 0.1,Unnamed: 0,Rank_x,Name,Team_x,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA_x,RA9_x,rRA9_x,rRA9pf_x,FIP_x,WHIP,WAR.1,image_url,team,player_id,play_type,Rank_y,Team_y,FIP_y,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,ERA_y,RA9_y,rRA9_y,rRA9pf_y,FIP_y.1,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,ID,Pit_side
211,211,211,212,권휘,24 P,-0.1,8,0,8,3,0,0,0,0,0,0,9.0,11,11,8.8,49,15,3,0,0,7,0,0,11,0,0,1,11.0,11.0,8.8,9.22,3.55,2.44,-0.1,https://statiz.sporki.com/data/team/ci/2024/6002.svg,NC Dinos,13665,우투우타,15,24 P,3.55,11.0,7.0,1.57,0.0,22.4,14.3,8.2,0.5,50.0,11.0,11.0,8.8,9.22,3.55,3.67,4.42,7.45,230.79,175.44,75.79,0.366,0.458,0.439,0.897,205,25.6,22.8,4.18,13665,Right
212,212,212,213,강효종,24 P,-0.1,1,1,0,0,0,0,0,0,0,0,1.1,3,3,3.0,9,2,0,0,1,3,0,0,2,0,0,0,20.25,20.25,20.25,18.46,16.35,3.75,-0.1,https://statiz.sporki.com/data/team/ci/2024/5002.svg,Lotte Giants,14780,우투우타,280,24 P,16.35,13.5,20.25,0.67,6.75,22.2,33.3,-11.1,0.333,50.0,20.25,20.25,20.25,18.46,16.35,7.52,6.73,3.9,424.86,351.23,348.59,0.333,0.556,0.833,1.389,33,33.0,24.8,3.67,14780,Right
213,213,213,214,김연주,24 P,-0.11,34,0,34,11,0,0,1,1,0,1,31.1,23,24,24.5,148,34,10,0,5,17,5,1,18,0,0,2,6.61,6.89,7.04,7.43,6.74,1.63,-0.11,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes,16127,우투우타,231,24 P,6.74,5.17,4.88,1.06,1.44,12.2,11.5,0.7,0.282,65.3,6.61,6.89,7.04,7.43,6.74,4.97,5.32,-0.13,140.58,143.31,145.74,0.272,0.378,0.472,0.85,576,16.9,18.4,3.89,16127,Right
214,214,214,215,손현기,24 P,-0.11,6,2,4,2,0,0,0,1,0,0,14.1,12,14,13.3,69,17,3,1,2,8,3,0,9,0,0,3,7.53,8.79,8.35,8.66,6.67,1.74,-0.11,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes,16125,좌투좌타,225,24 P,6.67,5.65,5.02,1.13,1.26,13.0,11.6,1.4,0.319,56.0,7.53,8.79,8.35,8.66,6.67,5.13,5.23,0.87,160.33,167.05,144.21,0.298,0.406,0.491,0.897,269,44.8,18.8,3.9,16125,Left
215,215,215,216,정철원,24 P,-0.11,36,0,36,14,0,0,2,1,6,1,32.1,23,24,25.55,165,39,7,2,5,26,5,0,39,1,0,0,6.4,6.68,7.11,7.01,6.0,2.01,-0.11,https://statiz.sporki.com/data/team/ci/2024/6002.svg,NC Dinos,13071,우투우타,191,24 P,6.0,10.86,7.24,1.5,1.39,23.6,15.8,7.9,0.382,73.0,6.4,6.68,7.11,7.01,6.0,4.27,4.45,0.41,134.32,133.38,127.85,0.295,0.427,0.492,0.919,634,17.6,19.6,3.84,13071,Right
216,216,216,217,김윤식,24 P,-0.11,1,1,0,0,0,0,0,0,0,0,3.0,4,4,4.0,17,7,2,0,0,1,0,0,1,1,0,0,12.0,12.0,12.0,12.94,4.4,2.67,-0.11,https://statiz.sporki.com/data/team/ci/2024/5002.svg,Lotte Giants,14588,좌투좌타,66,24 P,4.4,3.0,3.0,1.0,0.0,5.9,5.9,0.0,0.467,50.0,12.0,12.0,12.0,12.94,4.4,4.57,5.4,7.6,251.77,246.09,93.8,0.438,0.471,0.563,1.034,61,61.0,20.3,3.59,14588,Left
217,217,217,218,이충호,24 P,-0.12,3,0,3,0,0,0,0,0,0,0,2.1,1,1,3.05,13,4,1,0,0,3,0,0,3,0,0,0,3.86,3.86,11.76,11.02,4.97,3.0,-0.12,https://statiz.sporki.com/data/team/ci/2024/7002.svg,Samsung Lions,11116,좌투좌타,109,24 P,4.97,11.57,11.57,1.0,0.0,23.1,23.1,0.0,0.571,85.7,3.86,3.86,11.76,11.02,4.97,5.06,5.4,-1.11,78.03,202.14,102.19,0.4,0.538,0.5,1.038,45,15.0,19.3,3.46,11116,Left
218,218,218,219,이종민,24 P,-0.12,12,9,3,0,0,0,1,8,0,0,43.2,37,39,36.1,212,56,10,2,9,22,5,2,21,2,1,0,7.63,8.04,7.44,7.72,7.22,1.79,-0.12,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes,14576,좌투좌타,242,24 P,7.22,4.33,4.53,0.95,1.86,9.9,10.4,-0.5,0.305,62.9,7.63,8.04,7.44,7.72,7.22,4.91,5.46,0.4,162.27,148.91,156.23,0.313,0.393,0.542,0.935,754,62.8,17.3,3.56,14576,Left
219,219,219,220,백승건,24 P,-0.12,10,0,10,7,0,0,0,0,0,0,9.1,8,9,11.05,51,13,2,0,2,9,0,0,5,2,0,1,7.71,8.68,10.66,10.05,8.4,2.36,-0.12,https://statiz.sporki.com/data/team/ci/2024/9002.svg,SSG Landers,14145,좌투좌타,265,24 P,8.4,4.82,8.68,0.56,1.93,9.8,17.6,-7.8,0.314,68.4,7.71,8.68,10.66,10.05,8.4,5.98,6.34,-0.68,150.44,177.73,166.45,0.317,0.431,0.512,0.943,203,20.3,21.8,3.98,14145,Left
220,220,220,221,신영우,24 P,-0.13,4,2,2,2,0,0,0,1,0,0,9.1,11,11,10.15,52,9,3,0,0,15,2,0,6,0,0,1,10.61,10.61,9.79,9.54,8.24,2.57,-0.13,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz,15450,우투우타,263,24 P,8.24,5.79,14.46,0.4,0.0,11.5,28.8,-17.3,0.333,57.7,10.61,10.61,9.79,9.54,8.24,8.34,7.48,2.37,219.46,178.97,173.22,0.29,0.52,0.387,0.907,200,50.0,21.4,3.85,15450,Right
